Operator,Working set,Memory use,MACs
MobileNetV3Large_1/expanded_conv_14_project_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_14_project_1/convolution;,244 253 254,5120,153600
MobileNetV3Large_1/expanded_conv_14_add_1/Add,244 254 255,1920,160
MobileNetV3Large_1/conv_1_bn_1/batchnorm/add_1;MobileNetV3Large_1/conv_1_2/convolution;,256 255,4480,153600
MobileNetV3Large_1/activation_19_1/mul;;MobileNetV3Large_1/activation_19_1/Relu6;MobileNetV3Large_1/activation_19_1/add;MobileNetV3Large_1/activation_19_1/truediv,256 257,7680,0
MobileNetV3Large_1/global_average_pooling2d_1/Mean,257 258,7680,960
MobileNetV3Large_1/conv_2_1/BiasAdd;MobileNetV3Large_1/conv_2_1/convolution;,258 259,8960,1228800
MobileNetV3Large_1/activation_20_1/mul;;MobileNetV3Large_1/activation_20_1/Relu6;MobileNetV3Large_1/activation_20_1/add;MobileNetV3Large_1/activation_20_1/truediv,259 260,10240,0
MobileNetV3Large_1/logits_1/BiasAdd;MobileNetV3Large_1/logits_1/convolution;,260 261,9120,1280000
MobileNetV3Large_1/flatten_1/Reshape,261 262,8000,0
StatefulPartitionedCall_1:0,262 263,8000,0
